Label,Count
,900
spea_bombifrons,67
scaphiopus_holbrookii,215
pseudacris_maculata,603
pseudacris_fouquettei,893
pseudacris_feriarum,1419
pseudacris_crucifer,848
lithobates_sylvaticus,986
lithobates_sphenocephalus,583
lithobates_pipiens,193
lithobates_palustris,148
lithobates_clamitans,286
lithobates_catesbeianus,326
lithobates_blairi,140
lithobates_areolatus,210
gastrophryne_olivacea,841
gastrophryne_carolinensis,245
dryophytes_versicolor,636
dryophytes_cinereus,203
dryophytes_chrysoscelis,286
anaxyrus_woodhousii,168
anaxyrus_fowleri,383
anaxyrus_cognatus,117
anaxyrus_americanus,552
acris_blanchardi,303
